"Week","Date","Gm1","Gm2","Gm3","SS","HCP","HS","Avg<br />Before","Avg<br />After","Todays<br />Avg","+/-<br />Avg"
"1","09/10/2019","191","157","168","516","129","645","182","182","172","-10"
"2","09/17/2019","218","168","204","590","129","719","182","182","196","14"
"3","09/24/2019","175","224","245","644","129","773","182","194","214","32"
"4","10/01/2019","229","199","166","594","96","690","194","195","198","4"
"5","10/08/2019","269","156","168","593","93","686","195","195","197","2"
"6","10/15/2019","172","213","156","541","93","634","195","193","180","-15"
"7","10/22/2019","188","196","214","598","99","697","193","194","199","6"
"8","10/29/2019","191","173","243","607","96","703","194","195","202","8"
"9","11/05/2019","213","234","185","632","93","725","195","196","210","15"
"10","11/12/2019","199","193","192","584","90","674","196","196","194","-2"
"11","11/19/2019","246","193","201","640","90","730","196","198","213","17"
"12","11/26/2019","210","213","171","594","84","678","198","198","198","0"
"13","12/03/2019","246","214","204","664","84","748","198","199","221","23"
"14","12/10/2019","222","209","176","607","81","688","199","200","202","3"
"15","12/17/2019","148","158","151","457","81","538","200","196","152","-48"
"16","01/07/2020","300","277","268","845","90","935","196","202","281","85"
"17","01/14/2020","156","187","158","501","75","576","202","200","167","-35"
"18","01/21/2020","191","185","164","540","81","621","200","199","180","-20"
"19","01/28/2020","183","200","152","535","81","616","199","197","178","-21"
"20","02/04/2020","202","180","258","640","87","727","197","198","213","16"
"21","02/11/2020","182","212","224","618","84","702","198","199","206","8"
"22","02/18/2020","258","211","192","661","81","742","199","200","220","21"
"23","02/25/2020","213","189","226","628","81","709","200","200","209","9"
"24","03/03/2020","190","189","181","560","81","641","200","199","186","-14"
"25","03/10/2020","243","174","246","663","81","744","199","200","221","22"
